Date,Gold,DXY,US10Y
2026-04-13,4742.39990234375,98.37000274658203,4.296999931335449
2026-04-14,4825.0,98.12000274658203,4.25600004196167
2026-04-15,4800.0,98.05999755859375,4.2820000648498535
2026-04-16,4785.39990234375,98.22000122070312,4.309000015258789
2026-04-17,4857.60009765625,98.0999984741211,4.245999813079834
2026-04-20,4806.60009765625,98.05000305175781,4.25
2026-04-21,4698.39990234375,98.41000366210938,4.291999816894531
2026-04-22,4732.5,98.58999633789062,4.294000148773193
2026-04-23,4705.10009765625,98.80000305175781,4.322999954223633
2026-04-24,4722.2998046875,98.51000213623047,4.309999942779541
2026-04-27,4675.39990234375,98.4800033569336,4.335999965667725
2026-04-28,4591.5,98.62000274658203,4.354000091552734
2026-04-29,4545.2001953125,98.91999816894531,4.418000221252441
2026-04-30,4614.7001953125,98.08000183105469,4.389999866485596
2026-05-01,4629.89990234375,98.20999908447266,4.377999782562256
2026-05-04,4519.5,98.47000122070312,4.446000099182129
2026-05-05,4555.7998046875,98.4800033569336,4.415999889373779
2026-05-06,4681.89990234375,98.0199966430664,4.355999946594238
2026-05-07,4699.7998046875,98.25,4.392000198364258
2026-05-08,4720.39990234375,97.83999633789062,4.363999843597412
2026-05-11,4718.7001953125,97.94000244140625,4.409999847412109
2026-05-12,4677.60009765625,98.29000091552734,4.4629998207092285
2026-05-13,4697.7001953125,98.4800033569336,4.480999946594238
2026-05-14,4678.10009765625,98.87999725341797,4.460999965667725
2026-05-15,4555.7998046875,99.2699966430664,4.59499979019165
2026-05-18,4552.5,98.97000122070312,4.623000144958496
2026-05-19,4506.2998046875,99.30000305175781,4.666999816894531
2026-05-20,4531.2998046875,99.11000061035156,4.572000026702881
2026-05-21,4539.7998046875,99.19000244140625,4.585999965667725
2026-05-22,4521.0,99.31999969482422,4.558000087738037
2026-05-26,4500.39990234375,99.16999816894531,4.493000030517578
2026-05-27,4447.5,99.20999908447266,4.480999946594238
2026-05-28,4499.2998046875,99.0199966430664,4.454999923706055
2026-05-29,4560.5,98.91000366210938,4.453000068664551
2026-06-01,4475.2001953125,99.19999694824219,4.474999904632568
2026-06-02,4489.10009765625,99.22000122070312,4.454999923706055
2026-06-03,4436.7001953125,99.52999877929688,4.491000175476074
2026-06-04,4475.7998046875,99.41000366210938,4.4770002365112305
2026-06-05,4337.10009765625,100.06999969482422,4.535999774932861
2026-06-08,4335.89990234375,100.05000305175781,4.552000045776367
2026-06-09,4260.0,99.91000366210938,4.5279998779296875
2026-06-10,4108.2001953125,99.94999694824219,4.541999816894531
2026-06-11,4090.300048828125,99.86000061035156,4.4629998207092285
2026-06-12,4215.0,99.75,4.486999988555908
2026-06-15,4328.0,99.62999725341797,4.468999862670898
2026-06-16,4330.89990234375,99.54000091552734,4.427999973297119
2026-06-17,4358.89990234375,100.08999633789062,4.4629998207092285
2026-06-18,4224.10009765625,100.8499984741211,4.451000213623047
